iter	RMSE
0	59597.34172
1	47466.07188
2	39553.82546
3	35183.89167
4	31478.04855
5	29045.88708
6	26848.36113
7	26184.36852
8	25277.80747
9	24821.0128
10	23930.77775
11	23295.82736
12	23023.51791
13	22273.38143
14	21911.50466
15	21460.36304
16	20801.0461
17	20237.25084
18	19656.23634
19	19388.02443
20	19041.39996
21	18575.48779
22	18165.9326
23	17536.87344
24	17222.94778
25	16809.44429
26	16343.5865
27	15971.9664
28	15610.39515
29	15577.21551
30	15400.25054
31	15087.6597
32	14774.86871
33	14643.65476
34	14540.81678
35	14255.46092
36	13852.39974
37	13641.92259
38	13366.81158
39	13182.91522
40	13013.84134
41	12992.08709
42	12897.05149
43	12752.3068
44	12680.30236
45	12472.75288
46	12235.62295
47	12223.99506
48	12007.74185
49	11969.72208
