iter	Passed	Remaining
0	14	687
1	28	680
2	52	828
3	74	851
4	101	911
5	125	916
6	170	1046
7	190	1002
8	216	986
9	252	1009
10	301	1069
11	380	1205
12	431	1227
13	460	1184
14	483	1128
15	498	1059
16	534	1038
17	589	1048
18	630	1028
19	658	987
20	686	947
21	704	896
22	720	846
23	748	810
24	766	766
25	798	736
26	817	696
27	839	659
28	867	628
29	900	600
30	927	568
31	947	533
32	978	503
33	1003	472
34	1023	438
35	1048	407
36	1064	374
37	1082	341
38	1109	312
39	1126	281
40	1150	252
41	1178	224
42	1198	195
43	1216	165
44	1244	138
45	1281	111
46	1321	84
47	1355	56
48	1443	29
49	1486	0
