iter	Passed	Remaining
0	36	1795
1	54	1300
2	74	1163
3	85	983
4	95	859
5	107	785
6	116	715
7	124	651
8	135	618
9	147	588
10	164	582
11	173	549
12	184	525
13	197	507
14	209	488
15	217	462
16	230	447
17	251	447
18	286	467
19	301	451
20	315	435
21	326	415
22	335	393
23	346	375
24	358	358
25	369	340
26	390	332
27	397	312
28	408	295
29	415	276
30	424	260
31	432	243
32	440	227
33	448	211
34	472	202
35	491	191
36	498	175
37	507	160
38	514	145
39	524	131
40	531	116
41	540	102
42	547	89
43	557	76
44	570	63
45	576	50
46	585	37
47	592	24
48	601	12
49	608	0
